id,scenario_id,line_number,is_prompter,prompter_text,user_text,phase_context,prompter_callsign,user_callsign
1,0,1,1,"Alpha-2, this is Zero. Radio check. Over.",,"You are conducting a basic radio check with Zero station to verify communications are working properly. This is a standard procedure to ensure clear communications before operations begin.",0,
2,0,2,0,,"Zero, this is Alpha-2. I read you Lima Charlie. Over.","You are conducting a basic radio check with Zero station to verify communications are working properly. This is a standard procedure to ensure clear communications before operations begin.",,A2
3,0,3,1,"Alpha-2, this is Zero. Roger, I read you Lima Charlie as well. How copy? Over.",,"You are conducting a basic radio check with Zero station to verify communications are working properly. This is a standard procedure to ensure clear communications before operations begin.",0,
4,0,4,0,,"Zero, this is Alpha-2. Good copy. Out.","You are conducting a basic radio check with Zero station to verify communications are working properly. This is a standard procedure to ensure clear communications before operations begin.",,A2
5,1,1,0,,"This is 1 Alpha, Contact wait out",You have Just made contact with the enemy,,1A
6,1,2,0,,"0, THIS IS 1 Alpha   – Contact Report. OVER.","A military or security checkpoint was established at or near grid coordinates 38S WA 2311 6755. Alpha 1 is security element, was manning this checkpoint.

At approximately 11:20 AM UTC (Zulu time) on the 10th day of the current month, a pickup truck with two occupants approached the checkpoint. When signaled to stop, the vehicle failed to comply with the stop order and continued through the checkpoint without authorization.

In response to this security breach, Alpha 1's personnel fired shots at the vehicle. Despite the shots, the pickup truck continued driving away from the checkpoint, ",,1A
7,1,3,1,"1 Alpha, THIS IS 0 – SEND. OVER",,"A military or security checkpoint was established at or near grid coordinates 38S WA 2311 6755. Alpha 1 is security element, was manning this checkpoint.

At approximately 11:20 AM UTC (Zulu time) on the 10th day of the current month, a pickup truck with two occupants approached the checkpoint. When signaled to stop, the vehicle failed to comply with the stop order and continued through the checkpoint without authorization.

In response to this security breach, Alpha 1's personnel fired shots at the vehicle. Despite the shots, the pickup truck continued driving away from the checkpoint, ",0,
8,1,4,0,,"para alpha: 10 1120 ZULU
 para bravo: GRID – 38S WA 2311 6755
 para charlie: GRID – 38S WA 2311 6722
 para delta: 2x enemy in pick up truck, 
 para echo: VEHICLE FAILED TO STOP AT CHECKPOINT and Drove away
 para foxtrot: SHOTS FIRED","A military or security checkpoint was established at or near grid coordinates 38S WA 2311 6755. Alpha 1 is security element, was manning this checkpoint.

At approximately 11:20 AM UTC (Zulu time) on the 10th day of the current month, a pickup truck with two occupants approached the checkpoint. When signaled to stop, the vehicle failed to comply with the stop order and continued through the checkpoint without authorization.

In response to this security breach, Alpha 1's personnel fired shots at the vehicle. Despite the shots, the pickup truck continued driving away from the checkpoint, ",,1A
9,1,5,1,"1 Alpha, THIS IS 0 Roger OUT.",,"A military or security checkpoint was established at or near grid coordinates 38S WA 2311 6755. Alpha 1 is security element, was manning this checkpoint.

At approximately 11:20 AM UTC (Zulu time) on the 10th day of the current month, a pickup truck with two occupants approached the checkpoint. When signaled to stop, the vehicle failed to comply with the stop order and continued through the checkpoint without authorization.

In response to this security breach, Alpha 1's personnel fired shots at the vehicle. Despite the shots, the pickup truck continued driving away from the checkpoint, ",0,
10,2,1,1,Alpha 1 Send Repair Recovery Request,,"Your LSVW has broken down and will not start. It cannot be moved while you are going to the next location, and you are Alpha 1, the 0 post for 15 Infantry. You are at GR ML 1893 2748. There are three people in the vehicle; there is no enemy, but the road is extremely muddy.",0,
11,2,2,0,,0 this is Alpha1 Repair Recovery Request over,"Your LSVW has broken down and will not start. It cannot be moved while you are going to the next location, and you are Alpha 1, the 0 post for 15 Infantry. You are at GR ML 1893 2748. There are three people in the vehicle; there is no enemy, but the road is extremely muddy.",,A1
12,2,3,1,"Alpha 1 this 0 , send over ",,"Your LSVW has broken down and will not start. It cannot be moved while you are going to the next location, and you are Alpha 1, the 0 post for 15 Infantry. You are at GR ML 1893 2748. There are three people in the vehicle; there is no enemy, but the road is extremely muddy.",0,
13,2,4,0,,"Para Alpha: Recovery.

Para Bravo: NIL

Para Charlie: Pappa for 15 infantry, LSVW Alpha-1, 168392.

Para Delta: ML 1893 2748, Alpha-1.

Para Echo: Vehicle will not move or start.

Para Foxtrot: Vehicle will not start.

Para Golf: Non-tactical road is extremely muddy.

Para Hotel: Crew of 3 is with the vehicle.

Para India: ML 1893 2748.","Your LSVW has broken down and will not start. It cannot be moved while you are going to the next location, and you are Alpha 1, the 0 post for 15 Infantry. You are at GR ML 1893 2748. There are three people in the vehicle; there is no enemy, but the road is extremely muddy.",,A1
14,2,5,1,"0, Acknowledged out",,,0,
15,3,1,1,Alpha-1  this is 0 send sitrep over ,,"0 wants to know the status of your unit. You are at grid 1657 1132. Your unit has had several contacts with the enemy and has exhausted its ammunition supply, and a lot of equipment has been damaged or destroyed. You can not continue without more ammo and to replace and repair the equipment ",0,
16,3,2,0,,"0, this is Alpha-1.
Para Alpha, unknown.
Para Bravo, Grid 1657 1132. 45 personnel, normal operations.
Para Charlie, ammo status is critically low.
Para Delta, combat ineffective due to lack of ammo and damaged/destroyed equipment. Over.","0 wants to know the status of your unit. You are at grid 1657 1132. Your unit has had several contacts with the enemy and has exhausted its ammunition supply, and a lot of equipment has been damaged or destroyed. You can not continue without more ammo and to replace and repair the equipment",,A1
